Id,Dates,DayOfWeek,PdDistrict,Address,X,Y
266,5/10/2015 4:43,Sunday,TARAVAL,2600 Block of 44TH AV,-122.5020794,37.7371957
267,5/10/2015 4:43,Sunday,TARAVAL,2600 Block of 44TH AV,-122.5020794,37.7371957
268,5/10/2015 4:43,Sunday,TARAVAL,2600 Block of 44TH AV,-122.5020794,37.7371957
269,5/10/2015 4:43,Sunday,BAYVIEW,OAKDALE AV / SELBY ST,-122.3996861,37.73990178
270,5/10/2015 4:42,Sunday,NORTHERN,1300 Block of VANNESS AV,-122.4217342,37.78829613
271,5/10/2015 4:35,Sunday,SOUTHERN,500 Block of 3RD ST,-122.3947991,37.7805662
272,5/10/2015 4:29,Sunday,SOUTHERN,8TH ST / MISSION ST,-122.4131609,37.77745666
273,5/10/2015 4:00,Sunday,SOUTHERN,400 Block of 6TH ST,-122.4036714,37.77703244
274,5/10/2015 3:52,Sunday,NORTHERN,SUTTER ST / VANNESS AV,-122.4217625,37.78754901
275,5/10/2015 3:50,Sunday,TENDERLOIN,0 Block of 5THSTNORTH ST,-122.4086486,37.78491247
276,5/10/2015 3:45,Sunday,PARK,400 Block of ROOSEVELT WY,-122.4428996,37.76415063
277,5/10/2015 3:42,Sunday,NORTHERN,1600 Block of WEBSTER ST,-122.4316127,37.78583295
278,5/10/2015 3:42,Sunday,NORTHERN,1600 Block of WEBSTER ST,-122.4316127,37.78583295
279,5/10/2015 3:40,Sunday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
280,5/10/2015 3:40,Sunday,SOUTHERN,400 Block of 7TH ST,-122.4051874,37.77455293
281,5/10/2015 3:30,Sunday,PARK,ANZAVISTA AV / ENCANTO AV,-122.4434674,37.77958425
282,5/10/2015 3:15,Sunday,MISSION,VALENCIA ST / 18TH ST,-122.4215817,37.76170072
283,5/10/2015 3:15,Sunday,MISSION,VALENCIA ST / 18TH ST,-122.4215817,37.76170072
284,5/10/2015 3:15,Sunday,MISSION,VALENCIA ST / 18TH ST,-122.4215817,37.76170072
285,5/10/2015 3:02,Sunday,SOUTHERN,TOWNSEND ST / 4TH ST,-122.3949859,37.77709095
286,5/10/2015 3:02,Sunday,SOUTHERN,TOWNSEND ST / 4TH ST,-122.3949859,37.77709095
287,5/10/2015 3:00,Sunday,NORTHERN,100 Block of WILLOW ST,-122.4200785,37.78352149
288,5/10/2015 3:00,Sunday,NORTHERN,100 Block of WILLOW ST,-122.4200785,37.78352149
289,5/10/2015 3:00,Sunday,SOUTHERN,11TH ST / HARRISON ST,-122.4124833,37.77063059
290,5/10/2015 2:44,Sunday,MISSION,4200 Block of 18TH ST,-122.4366574,37.76073566
291,5/10/2015 2:40,Sunday,NORTHERN,1100 Block of FILLMORE ST,-122.4321162,37.78003044
292,5/10/2015 2:28,Sunday,MISSION,19TH ST / SHOTWELL ST,-122.4159298,37.760433
293,5/10/2015 2:28,Sunday,MISSION,19TH ST / SHOTWELL ST,-122.4159298,37.760433
294,5/10/2015 2:12,Sunday,NORTHERN,1300 Block of WEBSTER ST,-122.4310464,37.78302957
295,5/10/2015 2:12,Sunday,NORTHERN,1300 Block of WEBSTER ST,-122.4310464,37.78302957
296,5/10/2015 2:10,Sunday,RICHMOND,48TH AV / CABRILLO ST,-122.5089584,37.77330564
297,5/10/2015 2:10,Sunday,RICHMOND,48TH AV / CABRILLO ST,-122.5089584,37.77330564
298,5/10/2015 2:10,Sunday,NORTHERN,GEARY BL / WEBSTER ST,-122.4312069,37.78456812
299,5/10/2015 2:10,Sunday,NORTHERN,GEARY BL / WEBSTER ST,-122.4312069,37.78456812
300,5/10/2015 1:30,Sunday,CENTRAL,100 Block of COLUMBUS AV,-122.4048958,37.7965642
301,5/10/2015 1:30,Sunday,RICHMOND,500 Block of 12TH AV,-122.4705681,37.77785006
302,5/10/2015 1:30,Sunday,RICHMOND,500 Block of 12TH AV,-122.4705681,37.77785006
303,5/10/2015 1:30,Sunday,RICHMOND,500 Block of 12TH AV,-122.4705681,37.77785006
304,5/10/2015 1:30,Sunday,CENTRAL,VALLEJO ST / POWELL ST,-122.4104595,37.79837144
305,5/10/2015 1:15,Sunday,CENTRAL,THE EMBARCADERONORTH ST / BROADWAY ST,-122.3973919,37.79906588
306,5/10/2015 1:10,Sunday,MISSION,VALENCIA ST / 16TH ST,-122.4218864,37.76491789
307,5/10/2015 1:00,Sunday,PARK,1500 Block of HAYES ST,-122.4419375,37.77440692
308,5/10/2015 1:00,Sunday,CENTRAL,0 Block of CAMPTON PL,-122.4060963,37.78902347
309,5/10/2015 1:00,Sunday,SOUTHERN,400 Block of 6TH ST,-122.4036714,37.77703244
310,5/10/2015 1:00,Sunday,TENDERLOIN,TURK ST / JONES ST,-122.4124143,37.7830038
311,5/10/2015 1:00,Sunday,PARK,1500 Block of HAYES ST,-122.4419375,37.77440692
312,5/10/2015 1:00,Sunday,MISSION,DIAMOND ST / 18TH ST,-122.4371932,37.76075843
313,5/10/2015 0:52,Sunday,NORTHERN,600 Block of LINDEN ST,-122.4286662,37.7757342
314,5/10/2015 0:44,Sunday,MISSION,2100 Block of MISSION ST,-122.4193859,37.76283309
315,5/10/2015 0:40,Sunday,TENDERLOIN,200 Block of MASON ST,-122.4095237,37.7857603
316,5/10/2015 0:39,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
317,5/10/2015 0:25,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
318,5/10/2015 0:23,Sunday,TARAVAL,1600 Block of 29TH AV,-122.4874503,37.75654417
319,5/10/2015 0:23,Sunday,TARAVAL,1600 Block of 29TH AV,-122.4874503,37.75654417
320,5/10/2015 0:23,Sunday,TARAVAL,1600 Block of 29TH AV,-122.4874503,37.75654417
321,5/10/2015 0:20,Sunday,INGLESIDE,200 Block of BLYTHDALE AV,-122.4205568,37.71089458
322,5/10/2015 0:20,Sunday,INGLESIDE,200 Block of BLYTHDALE AV,-122.4205568,37.71089458
323,5/10/2015 0:20,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
324,5/10/2015 0:19,Sunday,PARK,100 Block of HENRY ST,-122.4344665,37.76664845
325,5/10/2015 0:17,Sunday,NORTHERN,FILBERT ST / FILLMORE ST,-122.4356798,37.79802059
326,5/10/2015 0:02,Sunday,MISSION,3000 Block of 16TH ST,-122.4210829,37.76491084
327,5/10/2015 0:02,Sunday,MISSION,3000 Block of 16TH ST,-122.4210829,37.76491084
328,5/10/2015 0:02,Sunday,MISSION,3000 Block of 16TH ST,-122.4210829,37.76491084
329,5/10/2015 0:01,Sunday,TENDERLOIN,300 Block of ELLIS ST,-122.4119876,37.78502266
330,5/10/2015 0:01,Sunday,BAYVIEW,1600 Block of ARMSTRONG AV,-122.3928626,37.72664582
331,5/10/2015 0:01,Sunday,SOUTHERN,1400 Block of HOWARD ST,-122.4149272,37.77352398
332,5/10/2015 0:01,Sunday,NORTHERN,1700 Block of POST ST,-122.4306001,37.78552072
333,5/10/2015 0:01,Sunday,PARK,200 Block of ROOSEVELT WY,-122.4403409,37.76587075
334,5/10/2015 0:01,Sunday,PARK,CLAYTON ST / GROVE ST,-122.4495175,37.77446022
335,5/9/2015 23:57,Saturday,SOUTHERN,1300 Block of STEVENSON ST,-122.4217325,37.77075909
336,5/9/2015 23:57,Saturday,SOUTHERN,1300 Block of STEVENSON ST,-122.4217325,37.77075909
337,5/9/2015 23:35,Saturday,BAYVIEW,CESAR CHAVEZ ST / VERMONT ST,-122.402868,37.74947839
338,5/9/2015 23:32,Saturday,TENDERLOIN,OFARRELL ST / JONES ST,-122.4129705,37.78578838
339,5/9/2015 23:30,Saturday,TARAVAL,1100 Block of OCEAN AV,-122.4546623,37.72348717
340,5/9/2015 23:30,Saturday,TARAVAL,1100 Block of OCEAN AV,-122.4546623,37.72348717
341,5/9/2015 23:30,Saturday,BAYVIEW,1200 Block of 3RD ST,-122.3895176,37.77246824
342,5/9/2015 23:30,Saturday,PARK,1900 Block of GEARY BL,-122.4361973,37.78378829
343,5/9/2015 23:20,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
344,5/9/2015 23:16,Saturday,TENDERLOIN,600 Block of OFARRELL ST,-122.4153578,37.78554498
345,5/9/2015 23:16,Saturday,TENDERLOIN,600 Block of OFARRELL ST,-122.4153578,37.78554498
346,5/9/2015 23:16,Saturday,TENDERLOIN,600 Block of OFARRELL ST,-122.4153578,37.78554498
347,5/9/2015 23:10,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
348,5/9/2015 23:00,Saturday,INGLESIDE,0 Block of BLYTHDALE AV,-122.4176788,37.7107673
349,5/9/2015 23:00,Saturday,INGLESIDE,0 Block of BLYTHDALE AV,-122.4176788,37.7107673
350,5/9/2015 23:00,Saturday,BAYVIEW,1100 Block of 8TH ST,-122.3999966,37.76703063
351,5/9/2015 23:00,Saturday,INGLESIDE,100 Block of MADRID ST,-122.4287687,37.72707677
352,5/9/2015 23:00,Saturday,SOUTHERN,600 Block of 3RD ST,-122.393461,37.77949757
353,5/9/2015 23:00,Saturday,PARK,100 Block of CLIFFORD TR,-122.4452435,37.76415986
354,5/9/2015 23:00,Saturday,NORTHERN,2100 Block of CHESTNUT ST,-122.4387233,37.80055836
355,5/9/2015 23:00,Saturday,SOUTHERN,600 Block of TOWNSEND ST,-122.4027397,37.77088424
356,5/9/2015 23:00,Saturday,CENTRAL,1300 Block of GRANT AV,-122.407371,37.79924013
357,5/9/2015 23:00,Saturday,CENTRAL,700 Block of BAY ST,-122.4193811,37.80494692
358,5/9/2015 23:00,Saturday,INGLESIDE,ALEMANY BL / ONONDAGA AV,-122.4386424,37.72162637
359,5/9/2015 23:00,Saturday,MISSION,HARRISON ST / 20TH ST,-122.4125029,37.7590273
360,5/9/2015 23:00,Saturday,MISSION,HARRISON ST / 20TH ST,-122.4125029,37.7590273
361,5/9/2015 22:50,Saturday,MISSION,400 Block of VALENCIA ST,-122.4219351,37.76613439
362,5/9/2015 22:50,Saturday,CENTRAL,300 Block of THE EMBARCADERONORTH ST,-122.3963744,37.79805325
363,5/9/2015 22:50,Saturday,MISSION,400 Block of VALENCIA ST,-122.4219351,37.76613439
364,5/9/2015 22:50,Saturday,MISSION,400 Block of VALENCIA ST,-122.4219351,37.76613439
365,5/9/2015 22:35,Saturday,RICHMOND,BUSH ST / PRESIDIO AV,-122.4464224,37.78536998
366,5/9/2015 22:30,Saturday,SOUTHERN,0 Block of TANDANGSORA ST,-122.4000844,37.78164507
367,5/9/2015 22:30,Saturday,TENDERLOIN,300 Block of EDDY ST,-122.4129305,37.78383444
368,5/9/2015 22:30,Saturday,MISSION,100 Block of DOLORES ST,-122.4264989,37.76747148
369,5/9/2015 22:30,Saturday,PARK,0 Block of CLIFFORD TR,-122.4436185,37.76395203
370,5/9/2015 22:30,Saturday,SOUTHERN,300 Block of 11TH ST,-122.4131894,37.77127369
371,5/9/2015 22:30,Saturday,CENTRAL,2400 Block of HYDE ST,-122.419962,37.80407925
372,5/9/2015 22:30,Saturday,TENDERLOIN,ELLIS ST / LEAVENWORTH ST,-122.4144332,37.78465763
373,5/9/2015 22:25,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
374,5/9/2015 22:15,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
375,5/9/2015 22:07,Saturday,INGLESIDE,GENEVA AV / MISSION ST,-122.4410181,37.71645868
376,5/9/2015 22:07,Saturday,INGLESIDE,GENEVA AV / MISSION ST,-122.4410181,37.71645868
377,5/9/2015 22:07,Saturday,INGLESIDE,GENEVA AV / MISSION ST,-122.4410181,37.71645868
378,5/9/2015 22:05,Saturday,CENTRAL,400 Block of GEARY ST,-122.4106997,37.78698819
379,5/9/2015 22:05,Saturday,CENTRAL,400 Block of GEARY ST,-122.4106997,37.78698819
380,5/9/2015 22:00,Saturday,PARK,600 Block of HAIGHT ST,-122.4329402,37.771845
381,5/9/2015 22:00,Saturday,INGLESIDE,300 Block of RICHLAND AV,-122.4184332,37.73563432
382,5/9/2015 22:00,Saturday,PARK,2100 Block of TURK ST,-122.4445335,37.77899161
383,5/9/2015 22:00,Saturday,PARK,0 Block of RIVOLI ST,-122.4486372,37.76254605
384,5/9/2015 22:00,Saturday,SOUTHERN,HARRISON ST / 3RD ST,-122.3973888,37.78255435
385,5/9/2015 22:00,Saturday,SOUTHERN,HARRISON ST / 3RD ST,-122.3973888,37.78255435
386,5/9/2015 22:00,Saturday,NORTHERN,SUTTER ST / POLK ST,-122.4201203,37.78775706
387,5/9/2015 22:00,Saturday,MISSION,SHOTWELL ST / 23RD ST,-122.415322,37.75403431
388,5/9/2015 21:46,Saturday,SOUTHERN,0 Block of 3RD ST,-122.4028355,37.7868009
389,5/9/2015 21:40,Saturday,CENTRAL,THE EMBARCADERONORTH ST / BROADWAY ST,-122.3973919,37.79906588
390,5/9/2015 21:30,Saturday,INGLESIDE,100 Block of PERALTA AV,-122.4086078,37.74678736
391,5/9/2015 21:30,Saturday,MISSION,900 Block of GUERRERO ST,-122.4231072,37.75557304
392,5/9/2015 21:30,Saturday,NORTHERN,VANNESS AV / CLAY ST,-122.4226956,37.79217333
393,5/9/2015 21:14,Saturday,BAYVIEW,1400 Block of THOMAS AV,-122.3885428,37.72878929
394,5/9/2015 21:00,Saturday,PARK,1300 Block of PAGE ST,-122.4430167,37.77140832
395,5/9/2015 21:00,Saturday,PARK,400 Block of CLAYTON ST,-122.4489294,37.77118209
396,5/9/2015 21:00,Saturday,NORTHERN,600 Block of POLK ST,-122.419021,37.78265298
397,5/9/2015 21:00,Saturday,INGLESIDE,900 Block of BRAZIL AV,-122.4271942,37.72110608
398,5/9/2015 21:00,Saturday,MISSION,900 Block of DOLORES ST,-122.4252367,37.75422219
399,5/9/2015 21:00,Saturday,TARAVAL,1500 Block of 36TH AV,-122.4949467,37.75808117
400,5/9/2015 21:00,Saturday,TARAVAL,JUNIPERO SERRA BL / DARIEN WY,-122.4717278,37.73194699
401,5/9/2015 20:55,Saturday,NORTHERN,1200 Block of SUTTER ST,-122.4209638,37.78770463
402,5/9/2015 20:55,Saturday,CENTRAL,THE EMBARCADERONORTH ST / BROADWAY ST,-122.3973919,37.79906588
403,5/9/2015 20:53,Saturday,CENTRAL,300 Block of THE EMBARCADERONORTH ST,-122.3963744,37.79805325
404,5/9/2015 20:46,Saturday,INGLESIDE,300 Block of LELAND AV,-122.4097974,37.71326692
405,5/9/2015 20:46,Saturday,INGLESIDE,300 Block of LELAND AV,-122.4097974,37.71326692
406,5/9/2015 20:31,Saturday,NORTHERN,1800 Block of POST ST,-122.4322303,37.78520546
407,5/9/2015 20:31,Saturday,NORTHERN,1800 Block of POST ST,-122.4322303,37.78520546
408,5/9/2015 20:30,Saturday,NORTHERN,2400 Block of PACIFIC AV,-122.4355842,37.79329421
409,5/9/2015 20:30,Saturday,NORTHERN,2400 Block of PACIFIC AV,-122.4355842,37.79329421
410,5/9/2015 20:30,Saturday,NORTHERN,2400 Block of PACIFIC AV,-122.4355842,37.79329421
411,5/9/2015 20:30,Saturday,CENTRAL,CHESTNUT ST / POWELL ST,-122.4115866,37.80396235
412,5/9/2015 20:20,Saturday,CENTRAL,1200 Block of GRANT AV,-122.4071101,37.79864578
413,5/9/2015 20:20,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
414,5/9/2015 20:15,Saturday,INGLESIDE,ALEMANY BL / NAGLEE AV,-122.4489489,37.71388568
415,5/9/2015 20:03,Saturday,NORTHERN,1100 Block of FILLMORE ST,-122.4321162,37.78003044
416,5/9/2015 20:00,Saturday,NORTHERN,1600 Block of BROADWAY ST,-122.424262,37.79568405
417,5/9/2015 20:00,Saturday,INGLESIDE,1700 Block of SUNNYDALE AV,-122.4171448,37.71215029
418,5/9/2015 20:00,Saturday,TARAVAL,NORIEGA ST / 44TH AV,-122.4818309,37.7540032
419,5/9/2015 19:56,Saturday,CENTRAL,500 Block of SUTTER ST,-122.4094236,37.78906473
420,5/9/2015 19:55,Saturday,TENDERLOIN,FULTON ST / HYDE ST,-122.4151278,37.77978707
421,5/9/2015 19:52,Saturday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
422,5/9/2015 19:50,Saturday,TARAVAL,1700 Block of 11TH AV,-122.4677968,37.75554147
423,5/9/2015 19:40,Saturday,MISSION,300 Block of TREAT AV,-122.4134455,37.76463702
424,5/9/2015 19:30,Saturday,NORTHERN,1900 Block of VANNESS AV,-122.422791,37.7935232
425,5/9/2015 19:30,Saturday,BAYVIEW,QUESADA AV / GRIFFITH ST,-122.3802587,37.7269925
426,5/9/2015 19:12,Saturday,MISSION,1200 Block of POTRERO AV,-122.4063457,37.75234837
427,5/9/2015 19:12,Saturday,MISSION,1200 Block of POTRERO AV,-122.4063457,37.75234837
428,5/9/2015 19:11,Saturday,NORTHERN,POLK ST / HEMLOCK ST,-122.4200215,37.78728071
429,5/9/2015 19:11,Saturday,NORTHERN,POLK ST / HEMLOCK ST,-122.4200215,37.78728071
430,5/9/2015 19:11,Saturday,NORTHERN,POLK ST / HEMLOCK ST,-122.4200215,37.78728071
431,5/9/2015 19:10,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
432,5/9/2015 19:00,Saturday,BAYVIEW,200 Block of BRIDGEVIEW DR,-122.3974541,37.73418923
433,5/9/2015 19:00,Saturday,TARAVAL,0 Block of HOLLOWAY AV,-122.453613,37.72179778
434,5/9/2015 19:00,Saturday,TARAVAL,0 Block of HOLLOWAY AV,-122.453613,37.72179778
435,5/9/2015 19:00,Saturday,CENTRAL,600 Block of GEARY ST,-122.4139888,37.78656854
436,5/9/2015 19:00,Saturday,TARAVAL,0 Block of HOLLOWAY AV,-122.453613,37.72179778
437,5/9/2015 19:00,Saturday,CENTRAL,600 Block of GEARY ST,-122.4139888,37.78656854
438,5/9/2015 19:00,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
439,5/9/2015 19:00,Saturday,CENTRAL,0 Block of JEFFERSON ST,-122.4133706,37.80857527
440,5/9/2015 19:00,Saturday,CENTRAL,200 Block of FRANCISCO ST,-122.4098207,37.80508166
441,5/9/2015 19:00,Saturday,SOUTHERN,MISSION ST / SPEAR ST,-122.3940647,37.79253782
442,5/9/2015 19:00,Saturday,NORTHERN,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
443,5/9/2015 18:50,Saturday,SOUTHERN,700 Block of MARKET ST,-122.4052948,37.78630722
444,5/9/2015 18:48,Saturday,SOUTHERN,1200 Block of HOWARD ST,-122.4124474,37.77563367
445,5/9/2015 18:48,Saturday,SOUTHERN,1200 Block of HOWARD ST,-122.4124474,37.77563367
446,5/9/2015 18:45,Saturday,CENTRAL,2700 Block of HYDE ST,-122.4205347,37.80618922
447,5/9/2015 18:40,Saturday,NORTHERN,VANNESS AV / FELL ST,-122.4195075,37.7763701
448,5/9/2015 18:36,Saturday,INGLESIDE,PROSPECT AV / EUGENIA AV,-122.4200518,37.74146431
449,5/9/2015 18:36,Saturday,INGLESIDE,PROSPECT AV / EUGENIA AV,-122.4200518,37.74146431
450,5/9/2015 18:36,Saturday,INGLESIDE,PROSPECT AV / EUGENIA AV,-122.4200518,37.74146431
451,5/9/2015 18:35,Saturday,RICHMOND,300 Block of 11TH AV,-122.4697662,37.78171356
452,5/9/2015 18:35,Saturday,RICHMOND,300 Block of 11TH AV,-122.4697662,37.78171356
453,5/9/2015 18:35,Saturday,RICHMOND,300 Block of 11TH AV,-122.4697662,37.78171356
454,5/9/2015 18:34,Saturday,SOUTHERN,900 Block of HOWARD ST,-122.4065085,37.78033132
455,5/9/2015 18:31,Saturday,NORTHERN,POLK ST / MYRTLE ST,-122.4196414,37.78543273
456,5/9/2015 18:31,Saturday,NORTHERN,POLK ST / MYRTLE ST,-122.4196414,37.78543273
457,5/9/2015 18:30,Saturday,MISSION,POTRERO AV / CESAR CHAVEZ ST,-122.4050969,37.74911001
458,5/9/2015 18:30,Saturday,MISSION,POTRERO AV / CESAR CHAVEZ ST,-122.4050969,37.74911001
459,5/9/2015 18:30,Saturday,MISSION,POTRERO AV / CESAR CHAVEZ ST,-122.4050969,37.74911001
460,5/9/2015 18:30,Saturday,INGLESIDE,VISITACION AV / SAWYER ST,-122.4143713,37.71324683
461,5/9/2015 18:26,Saturday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
462,5/9/2015 18:25,Saturday,PARK,HAIGHT ST / STANYAN ST,-122.4535346,37.7691663
463,5/9/2015 18:20,Saturday,INGLESIDE,600 Block of MONTEREY BL,-122.4500266,37.73144008
464,5/9/2015 18:20,Saturday,SOUTHERN,1500 Block of MISSION ST,-122.4179754,37.77375094
465,5/9/2015 18:15,Saturday,SOUTHERN,1200 Block of MARKET ST,-122.4154442,37.77802457
466,5/9/2015 18:14,Saturday,INGLESIDE,SUNNYDALE AV / HAHN ST,-122.4160002,37.71191554
467,5/9/2015 18:08,Saturday,BAYVIEW,700 Block of KIRKWOOD AV,-122.3740193,37.72920336
468,5/9/2015 18:08,Saturday,RICHMOND,2700 Block of JACKSON ST,-122.4403262,37.79168063
469,5/9/2015 18:00,Saturday,PARK,200 Block of CENTRAL AV,-122.4440004,37.77182705
470,5/9/2015 18:00,Saturday,SOUTHERN,1000 Block of MISSION ST,-122.4098928,37.7801135
471,5/9/2015 18:00,Saturday,SOUTHERN,MARKET ST / OCTAVIA ST,-122.4236195,37.77171572
472,5/9/2015 18:00,Saturday,MISSION,21ST ST / VALENCIA ST,-122.4211185,37.75690115
473,5/9/2015 18:00,Saturday,SOUTHERN,4TH ST / SHIPLEY ST,-122.4006174,37.78158762
474,5/9/2015 17:43,Saturday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
475,5/9/2015 17:43,Saturday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
476,5/9/2015 17:43,Saturday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
477,5/9/2015 17:43,Saturday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
478,5/9/2015 17:40,Saturday,CENTRAL,200 Block of GEARY ST,-122.407413,37.78740741
479,5/9/2015 17:28,Saturday,SOUTHERN,0 Block of 7TH ST,-122.4114689,37.77955797
480,5/9/2015 17:24,Saturday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806
481,5/9/2015 17:24,Saturday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806
482,5/9/2015 17:24,Saturday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806
483,5/9/2015 17:20,Saturday,TARAVAL,20TH AV / WINSTON DR,-122.4760394,37.72694944
484,5/9/2015 17:11,Saturday,INGLESIDE,600 Block of SAN JOSE AV,-122.4218052,37.74593903
485,5/9/2015 17:00,Saturday,CENTRAL,KEARNY ST / NORTHPOINT ST,-122.4072787,37.80741901
486,5/9/2015 17:00,Saturday,RICHMOND,GEARY BL / FUNSTON AV,-122.4717757,37.78067995
487,5/9/2015 16:56,Saturday,PARK,HAIGHT ST / ASHBURY ST,-122.4469333,37.7700062
488,5/9/2015 16:30,Saturday,INGLESIDE,PERSIA AV / MADRID ST,-122.4328047,37.72161791
489,5/9/2015 16:30,Saturday,SOUTHERN,4TH ST / TOWNSEND ST,-122.3949859,37.77709095
490,5/9/2015 16:29,Saturday,MISSION,500 Block of DIAMOND ST,-122.4365594,37.75314555
491,5/9/2015 16:18,Saturday,INGLESIDE,0 Block of NANTUCKET AV,-122.441439,37.72818176
492,5/9/2015 16:18,Saturday,INGLESIDE,0 Block of NANTUCKET AV,-122.441439,37.72818176
493,5/9/2015 16:15,Saturday,NORTHERN,1100 Block of BUCHANAN ST,-122.4286923,37.78046678
494,5/9/2015 16:06,Saturday,TENDERLOIN,200 Block of LEAVENWORTH ST,-122.4142178,37.78325933
495,5/9/2015 16:06,Saturday,TENDERLOIN,200 Block of LEAVENWORTH ST,-122.4142178,37.78325933
496,5/9/2015 16:06,Saturday,TENDERLOIN,200 Block of LEAVENWORTH ST,-122.4142178,37.78325933
497,5/9/2015 16:00,Saturday,BAYVIEW,0 Block of BAYVIEW ST,-122.3937102,37.73273891
498,5/9/2015 16:00,Saturday,NORTHERN,2200 Block of POLK ST,-122.4219401,37.79714389
